league;season:Integer;position:Integer;team;points:Integer;played:Integer;won:Integer;drawn:Integer;lost:Integer;goalsFor:Integer;goalsAgainst:Integer;goalsDifference:Double;maxPoints:Integer
Ligue 1;2017;6;Girondins de Bordeaux;55;38;16;7;15;53;48;5.0;96
Ligue 1;2017;7;AS Saint-Étienne;55;38;15;10;13;47;50;-3.0;96
Ligue 1;2017;8;OGC Nice;54;38;15;9;14;53;52;1.0;96
Ligue 1;2017;9;FC Nantes;52;38;14;10;14;36;41;-5.0;96
Ligue 1;2017;10;Montpellier Hérault SC;51;38;11;18;9;36;33;3.0;96
Ligue 1;2017;11;Dijon FCO;48;38;13;9;16;55;73;-18.0;96
Ligue 1;2017;12;EA Guingamp;47;38;12;11;15;48;59;-11.0;96
Ligue 1;2017;13;Amiens SC;45;38;12;9;17;37;42;-5.0;96
Ligue 1;2017;14;Angers SCO;41;38;9;14;15;42;52;-10.0;96
Ligue 1;2017;15;RC Strasbourg Alsace;38;38;9;11;18;44;67;-23.0;96
Ligue 1;2017;16;SM Caen;38;38;10;8;20;27;52;-25.0;96
Ligue 1;2017;17;Lille OSC;38;38;10;8;20;41;67;-26.0;96
Ligue 1;2017;18;Toulouse FC;37;38;9;10;19;38;54;-16.0;96
Ligue 1;2017;19;ES Troyes AC;33;38;9;6;23;32;59;-27.0;96
Ligue 1;2017;20;FC Metz;26;38;6;8;24;34;76;-42.0;96
Ligue 1;2018;1;Paris Saint-Germain;91;38;29;4;5;105;35;70.0;96
Ligue 1;2018;2;LOSC;75;38;22;9;7;68;33;35.0;96
Ligue 1;2018;3;Olympique Lyonnais;72;38;21;9;8;70;47;23.0;96
Ligue 1;2018;4;AS Saint-Étienne;66;38;19;9;10;59;41;18.0;96
Ligue 1;2018;5;Olympique de Marseille;61;38;18;7;13;60;52;8.0;96
Ligue 1;2018;6;Montpellier Hérault SC;59;38;15;14;9;53;42;11.0;96
Ligue 1;2018;7;OGC Nice;56;38;15;11;12;30;35;-5.0;96
Ligue 1;2018;8;Stade de Reims;55;38;13;16;9;39;42;-3.0;96
Ligue 1;2018;9;Nîmes Olympique;53;38;15;8;15;57;58;-1.0;96
Ligue 1;2018;10;Stade Rennais FC;52;38;13;13;12;55;52;3.0;96
Ligue 1;2018;11;RC Strasbourg Alsace;49;38;11;16;11;58;48;10.0;96
Ligue 1;2018;12;FC Nantes;48;38;13;9;16;48;48;0.0;96
Ligue 1;2018;13;Angers SCO;46;38;10;16;12;44;49;-5.0;96
Ligue 1;2018;14;Girondins de Bordeaux;41;38;10;11;17;34;42;-8.0;96
Ligue 1;2018;15;Amiens SC;38;38;9;11;18;31;52;-21.0;96
Ligue 1;2018;16;Toulouse FC;38;38;8;14;16;35;57;-22.0;96
Ligue 1;2018;17;AS Monaco;36;38;8;12;18;38;57;-19.0;96
Ligue 1;2018;18;Dijon FCO;34;38;9;7;22;31;60;-29.0;96
Ligue 1;2018;19;SM Caen;33;38;7;12;19;29;54;-25.0;96
Ligue 1;2018;20;EA Guingamp;27;38;5;12;21;28;68;-40.0;96
Serie A;2014;1;Juventus FC;87;38;26;9;3;72;24;48.0;95
Serie A;2014;2;AS Roma;70;38;19;13;6;54;31;23.0;95
Serie A;2014;3;Lazio Rome;69;38;21;6;11;71;38;33.0;95
Serie A;2014;4;AC Fiorentina;64;38;18;10;10;61;46;15.0;95
Serie A;2014;5;SSC Naples;63;38;18;9;11;70;54;16.0;95
Serie A;2014;6;Genoa CFC;59;38;16;11;11;62;47;15.0;95
Serie A;2014;7;Sampdoria de Gênes;56;38;13;17;8;48;42;6.0;95
Serie A;2014;8;Inter Milan;55;38;14;13;11;59;48;11.0;95
Serie A;2014;9;Torino FC;54;38;14;12;12;48;45;3.0;95
Serie A;2014;10;AC Milan;52;38;13;13;12;56;50;6.0;95
Serie A;2014;11;US Palerme;49;38;12;13;13;53;55;-2.0;95
Serie A;2014;12;US Sassuolo;49;38;12;13;13;49;57;-8.0;95
Serie A;2014;13;Hellas Vérone;46;38;11;13;14;49;65;-16.0;95
Serie A;2014;14;Chievo Vérone;43;38;10;13;15;28;41;-13.0;95
Serie A;2014;15;Empoli FC;42;38;8;18;12;46;52;-6.0;95
Serie A;2014;16;Udinese Calcio;41;38;10;11;17;43;56;-13.0;95
Serie A;2014;17;Atalanta Bergame;37;38;7;16;15;38;57;-19.0;95
Serie A;2014;18;Cagliari Calcio;34;38;8;10;20;48;68;-20.0;95
Serie A;2014;19;AC Cesena;24;38;4;12;22;36;73;-37.0;95
Serie A;2014;20;Parme FC;19;38;6;8;24;33;75;-42.0;95
Serie A;2015;1;Juventus FC;91;38;29;4;5;75;20;55.0;95
Serie A;2015;2;SSC Naples;82;38;25;7;6;80;32;48.0;95
Serie A;2015;3;AS Roma;80;38;23;11;4;83;41;42.0;95
Serie A;2015;4;Inter Milan;67;38;20;7;11;50;38;12.0;95
Serie A;2015;5;AC Fiorentina;64;38;18;10;10;60;42;18.0;95
Serie A;2015;6;US Sassuolo;61;38;16;13;9;49;40;9.0;95
Serie A;2015;7;AC Milan;57;38;15;12;11;49;43;6.0;95
Serie A;2015;8;Lazio Rome;54;38;15;9;14;52;52;0.0;95
Serie A;2015;9;Chievo Vérone;50;38;13;11;14;43;45;-2.0;95
Serie A;2015;10;Genoa CFC;46;38;13;7;18;45;48;-3.0;95
Serie A;2015;11;Empoli FC;46;38;12;10;16;40;49;-9.0;95
Serie A;2015;12;Torino FC;45;38;12;9;17;52;55;-3.0;95
Serie A;2015;13;Atalanta Bergame;45;38;11;12;15;41;47;-6.0;95
Serie A;2015;14;Bologne FC;42;38;11;9;18;33;45;-12.0;95
Serie A;2015;15;Sampdoria de Gênes;40;38;10;10;18;48;61;-13.0;95
Serie A;2015;16;US Palerme;39;38;10;9;19;38;65;-27.0;95
Serie A;2015;17;Udinese Calcio;39;38;10;9;19;35;60;-25.0;95
Serie A;2015;18;Carpi FC;38;38;9;11;18;37;57;-20.0;95
Serie A;2015;19;Frosinone Calcio;31;38;8;7;23;35;76;-41.0;95
Serie A;2015;20;Hellas Vérone;28;38;5;13;20;34;63;-29.0;95
Serie A;2016;1;Juventus FC;91;38;29;4;5;77;27;50.0;95
Serie A;2016;2;AS Roma;87;38;28;3;7;87;36;51.0;95
Serie A;2016;3;SSC Naples;86;38;26;8;4;94;39;55.0;95
Serie A;2016;4;Atalanta Bergame;72;38;21;7;8;62;41;21.0;95
Serie A;2016;5;Lazio Rome;70;38;21;7;9;71;48;23.0;95
Serie A;2016;6;AC Milan;63;38;18;9;10;57;45;12.0;95
Serie A;2016;7;Inter Milan;62;38;19;5;14;71;48;23.0;95
Serie A;2016;8;AC Fiorentina;60;38;16;12;10;63;57;6.0;95
Serie A;2016;9;Torino FC;53;38;13;14;11;71;66;5.0;95
Serie A;2016;10;Sampdoria de Gênes;50;38;12;12;14;49;55;-6.0;95
Serie A;2016;11;Cagliari Calcio;47;38;14;5;18;54;73;-19.0;95
Serie A;2016;12;US Sassuolo;46;38;13;7;18;58;63;-5.0;95
Serie A;2016;13;Udinese Calcio;45;38;12;9;17;48;56;-8.0;95
Serie A;2016;14;Bologna FC;44;38;11;8;19;40;58;-18.0;95
Serie A;2016;15;Chievo Vérone;43;38;12;7;19;43;61;-18.0;95
Serie A;2016;16;Genoa CFC;36;38;9;8;20;41;65;-24.0;95
Serie A;2016;17;FC Crotone;34;38;9;7;22;34;58;-24.0;95
Serie A;2016;18;Empoli FC;32;38;8;8;22;29;61;-32.0;95
Serie A;2016;19;US Palerme;26;38;6;8;24;33;77;-44.0;95
Serie A;2016;20;Delfino Pescara 1936;18;38;3;9;28;35;79;-44.0;95
Serie A;2017;1;Juventus FC;95;38;30;5;3;86;24;62.0;95
Serie A;2017;2;SSC Naples;91;38;28;7;3;77;29;48.0;95
Serie A;2017;3;AS Rome;77;38;23;8;7;61;28;33.0;95
Serie A;2017;4;Inter Milan;72;38;20;12;6;66;30;36.0;95
Serie A;2017;5;SS Lazio;72;38;21;9;8;89;49;40.0;95
Serie A;2017;6;AC Milan;64;38;18;10;10;56;42;14.0;95
Serie A;2017;7;Atalanta Bergame;60;38;16;12;10;57;39;18.0;95
Serie A;2017;8;AC Fiorentina;57;38;16;9;13;54;46;8.0;95
Serie A;2017;9;Torino FC;54;38;13;15;10;54;46;8.0;95
Serie A;2017;10;Sampdoria de Gênes;54;38;16;6;16;56;60;-4.0;95
Serie A;2017;11;US Sassuolo;43;38;11;10;17;29;59;-30.0;95
Serie A;2017;12;Genoa CFC;41;38;11;8;19;33;43;-10.0;95
Serie A;2017;13;Chievo Vérone;40;38;10;10;18;36;59;-23.0;95
Serie A;2017;14;Udinese Calcio;40;38;11;4;22;48;63;-15.0;95
Serie A;2017;15;Bologne FC;39;38;11;6;21;40;52;-12.0;95
Serie A;2017;16;Cagliari Calcio;39;38;11;6;21;33;61;-28.0;95
Serie A;2017;17;SPAL;38;38;8;14;16;39;59;-20.0;95
Serie A;2017;18;Crotone FC;35;38;9;8;21;40;66;-26.0;95
Serie A;2017;19;Hellas Vérone;25;38;7;4;27;30;78;-48.0;95
Serie A;2017;20;Bénévent Calcio;21;38;6;3;29;33;84;-51.0;95
Serie A;2018;1;Juventus FC;90;38;28;6;4;70;30;40.0;95
Serie A;2018;2;SSC Naples;79;38;24;7;7;74;36;38.0;95
Serie A;2018;3;Atalanta Bergame;69;38;20;9;9;77;46;31.0;95
Serie A;2018;4;Inter Milan;69;38;20;9;9;56;29;27.0;95
Serie A;2018;5;AC Milan;68;38;19;11;8;55;36;19.0;95
Serie A;2018;6;AS Rome;66;38;18;12;8;66;48;18.0;95
Serie A;2018;7;Torino FC;63;38;16;15;7;52;37;15.0;95
Serie A;2018;8;SS Lazio;59;38;17;8;13;56;46;10.0;95
Serie A;2018;9;Sampdoria de Gênes;53;38;15;8;15;60;51;9.0;95
Serie A;2018;10;Bologne FC;44;38;11;11;16;48;56;-8.0;95
Serie A;2018;11;US Sassuolo;43;38;9;16;13;53;60;-7.0;95
Serie A;2018;12;Udinese Calcio;43;38;11;10;17;39;53;-14.0;95
Serie A;2018;13;SPAL;42;38;11;9;18;44;56;-12.0;95
Serie A;2018;14;Parme Calcio;41;38;10;11;17;41;61;-20.0;95
Serie A;2018;15;Cagliari Calcio;41;38;10;11;17;36;54;-18.0;95
Serie A;2018;16;ACF Fiorentina;41;38;8;17;13;47;45;2.0;95
Serie A;2018;17;Genoa CFC;38;38;8;14;16;39;57;-18.0;95
Serie A;2018;18;Empoli FC;38;38;10;8;20;51;70;-19.0;95
Serie A;2018;19;Frosinone Calcio;25;38;5;10;23;29;69;-40.0;95
Serie A;2018;20;Chievo Vérone;17;38;2;14;22;25;75;-50.0;95
Liga;2014;1;FC Barcelone;94;38;30;4;4;110;21;89.0;94
Liga;2014;2;Real Madrid;92;38;30;2;6;118;38;80.0;94
Liga;2014;3;Atlético Madrid;78;38;23;9;6;67;29;38.0;94
Liga;2014;4;Valence CF;77;38;22;11;5;70;32;38.0;94
Liga;2014;5;Séville FC;76;38;23;7;8;71;45;26.0;94
Liga;2014;6;Villarreal CF;60;38;16;12;10;48;37;11.0;94
Liga;2014;7;Athletic Bilbao;55;38;15;10;13;42;41;1.0;94
Liga;2014;8;Celta Vigo;51;38;13;12;13;47;44;3.0;94
Liga;2014;9;Málaga CF;50;38;14;8;16;42;48;-6.0;94
Liga;2014;10;Espanyol Barcelone;49;38;13;10;15;47;51;-4.0;94
Liga;2014;11;Rayo Vallecano;49;38;15;4;19;46;68;-22.0;94
Liga;2014;12;Real Sociedad;46;38;11;13;14;44;51;-7.0;94
Liga;2014;13;Elche CF;41;38;11;8;19;35;62;-27.0;94
Liga;2014;14;Levante UD;37;38;9;10;19;34;69;-35.0;94
Liga;2014;15;Getafe CF;37;38;10;7;21;33;64;-31.0;94
Liga;2014;16;Deportivo La Corogne;35;38;7;14;17;35;60;-25.0;94
Liga;2014;17;Grenade CF;35;38;7;14;17;30;64;-34.0;94
Liga;2014;18;SD Eibar;35;38;9;8;21;34;55;-21.0;94
Liga;2014;19;UD Almería;32;38;8;8;22;35;64;-29.0;94
Liga;2014;20;Córdoba CF;20;38;3;11;24;22;68;-46.0;94
Liga;2015;1;FC Barcelone;91;38;29;4;5;112;29;83.0;94
Liga;2015;2;Real Madrid;90;38;28;6;4;110;34;76.0;94
Liga;2015;3;Atlético Madrid;88;38;28;4;6;63;18;45.0;94
Liga;2015;4;Villarreal CF;64;38;18;10;10;44;35;9.0;94
Liga;2015;5;Athletic Bilbao;62;38;18;8;12;58;45;13.0;94
Liga;2015;6;Celta Vigo;60;38;17;9;12;51;59;-8.0;94
Liga;2015;7;Séville FC;52;38;14;10;14;51;50;1.0;94
Liga;2015;8;Málaga CF;48;38;12;12;14;38;35;3.0;94
Liga;2015;9;Real Sociedad;48;38;13;9;16;45;48;-3.0;94
Liga;2015;10;Betis Séville;45;38;11;12;15;34;52;-18.0;94
Liga;2015;11;Las Palmas;44;38;12;8;18;45;53;-8.0;94
Liga;2015;12;Valence CF;44;38;11;11;16;46;48;-2.0;94
Liga;2015;13;Espanyol Barcelone;43;38;12;7;19;40;74;-34.0;94
Liga;2015;14;SD Eibar;43;38;11;10;17;49;61;-12.0;94
Liga;2015;15;Deportivo La Corogne;42;38;8;18;12;45;61;-16.0;94
Liga;2015;16;Grenade CF;39;38;10;9;19;46;69;-23.0;94
Liga;2015;17;Sporting Gijón;39;38;10;9;19;40;62;-22.0;94
Liga;2015;18;Rayo Vallecano;38;38;9;11;18;52;73;-21.0;94
Liga;2015;19;Getafe CF;36;38;9;9;20;37;67;-30.0;94
Liga;2015;20;Levante;32;38;8;8;22;37;70;-33.0;94
Liga;2016;1;Real Madrid;93;38;29;6;3;106;41;65.0;94
Liga;2016;2;FC Barcelone;90;38;28;6;4;116;37;79.0;94
Liga;2016;3;Atlético de Madrid;78;38;23;9;6;70;27;43.0;94
Liga;2016;4;Séville FC;72;38;21;9;8;69;49;20.0;94
Liga;2016;5;Villarreal CF;67;38;19;10;9;56;33;23.0;94
Liga;2016;6;Real Sociedad;64;38;19;7;12;59;53;6.0;94
Liga;2016;7;Athletic Bilbao;63;38;19;6;13;53;43;10.0;94
Liga;2016;8;Espanyol Barcelone;56;38;15;11;12;49;50;-1.0;94
Liga;2016;9;Deportivo Alavés;55;38;14;13;11;41;43;-2.0;94
Liga;2016;10;SD Eibar;54;38;15;9;14;56;51;5.0;94
Liga;2016;11;Málaga CF;46;38;12;10;16;49;55;-6.0;94
Liga;2016;12;Valence CF;46;38;13;7;18;56;65;-9.0;94
Liga;2016;13;Celta Vigo;45;38;13;6;19;53;69;-16.0;94
Liga;2016;14;Las Palmas;39;38;10;9;19;53;74;-21.0;94
Liga;2016;15;Betis Séville;39;38;10;9;19;41;64;-23.0;94
Liga;2016;16;Deportivo La Corogne;36;38;8;12;18;43;61;-18.0;94
Liga;2016;17;CD Leganés;35;38;8;11;19;36;55;-19.0;94
Liga;2016;18;Sporting Gijón;31;38;7;10;21;42;72;-30.0;94
Liga;2016;19;CA Osasuna;22;38;4;10;24;40;94;-54.0;94
Liga;2016;20;Grenade CF;20;38;4;8;26;30;82;-52.0;94
Liga;2017;1;FC Barcelone;93;38;28;9;1;99;29;70.0;94
Liga;2017;2;Atlético de Madrid;79;38;23;10;5;58;22;36.0;94
Liga;2017;3;Real Madrid;76;38;22;10;6;94;44;50.0;94
Liga;2017;4;Valence CF;73;38;22;7;9;65;38;27.0;94
Liga;2017;5;Villarreal CF;61;38;18;7;13;57;50;7.0;94
Liga;2017;6;Betis Séville;60;38;18;6;14;60;61;-1.0;94
Liga;2017;7;Séville FC;58;38;17;7;14;49;58;-9.0;94
Liga;2017;8;Getafe CF;55;38;15;10;13;42;33;9.0;94
Liga;2017;9;SD Eibar;51;38;14;9;15;44;50;-6.0;94
Liga;2017;10;Girona FC;51;38;14;9;15;50;59;-9.0;94
Liga;2017;11;Espanyol Barcelone;49;38;12;13;13;36;42;-6.0;94
Liga;2017;12;Real Sociedad;49;38;14;7;17;66;59;7.0;94
Liga;2017;13;Celta Vigo;49;38;13;10;15;59;60;-1.0;94
Liga;2017;14;Deportivo Alavés;47;38;15;2;21;40;50;-10.0;94
Liga;2017;15;Levante UD;46;38;11;13;14;44;58;-14.0;94
Liga;2017;16;Athletic Bilbao;43;38;10;13;15;41;49;-8.0;94
Liga;2017;17;CD Leganés;43;38;12;7;19;34;51;-17.0;94
Liga;2017;18;Deportivo La Corogne;29;38;6;11;21;38;76;-38.0;94
Liga;2017;19;UD Las Palmas;22;38;5;7;26;24;74;-50.0;94
Liga;2017;20;Málaga CF;20;38;5;5;28;24;61;-37.0;94
Liga;2018;1;FC Barcelone;87;38;26;9;3;90;36;54.0;94
Liga;2018;2;Atlético de Madrid;76;38;22;10;6;55;29;26.0;94
Liga;2018;3;Real Madrid;68;38;21;5;12;63;46;17.0;94
Liga;2018;4;Valence CF;61;38;15;16;7;51;35;16.0;94
Liga;2018;5;Getafe CF;59;38;15;14;9;48;35;13.0;94
Liga;2018;6;Séville FC;59;38;17;8;13;62;47;15.0;94
Liga;2018;7;Espanyol Barcelone;53;38;14;11;13;48;50;-2.0;94
Liga;2018;8;Athletic Bilbao;53;38;13;14;11;41;45;-4.0;94
Liga;2018;9;Real Sociedad;50;38;13;11;14;45;46;-1.0;94
Liga;2018;10;Betis Séville;50;38;14;8;16;44;52;-8.0;94
Liga;2018;11;Deportivo Alavés;50;38;13;11;14;39;50;-11.0;94
Liga;2018;12;SD Eibar;47;38;11;14;13;46;50;-4.0;94
Liga;2018;13;CD Leganés;45;38;11;12;15;37;43;-6.0;94
Liga;2018;14;Villarreal CF;44;38;10;13;15;49;52;-3.0;94
Liga;2018;15;Levante UD;44;38;11;11;16;59;66;-7.0;94
Liga;2018;16;Real Valladolid;41;38;10;11;17;32;51;-19.0;94
Liga;2018;17;Celta Vigo;41;38;10;11;17;53;62;-9.0;94
Liga;2018;18;Girona FC;37;38;9;10;19;37;53;-16.0;94
Liga;2018;19;SD Huesca;33;38;7;12;19;43;65;-22.0;94
Liga;2018;20;Rayo Vallecano;32;38;8;8;22;41;70;-29.0;94
Bundesliga;2014;1;Bayern Munich;79;34;25;4;5;80;18;62.0;88
Bundesliga;2014;2;VfL Wolfsbourg;69;34;20;9;5;72;38;34.0;88
Bundesliga;2014;3;Borussia Mönchengladbach;66;34;19;9;6;53;26;27.0;88
Bundesliga;2014;4;Bayer Leverkusen;61;34;17;10;7;62;37;25.0;88
Bundesliga;2014;5;FC Augsbourg;49;34;15;4;15;43;43;0.0;88
Bundesliga;2014;6;Schalke 04;48;34;13;9;12;42;40;2.0;88
Bundesliga;2014;7;Borussia Dortmund;46;34;13;7;14;47;42;5.0;88
Bundesliga;2014;8;TSG 1899 Hoffenheim;44;34;12;8;14;49;55;-6.0;88
Bundesliga;2014;9;Eintracht Francfort;43;34;11;10;13;56;62;-6.0;88
Bundesliga;2014;10;Werder Brême;43;34;11;10;13;50;65;-15.0;88
Bundesliga;2014;11;FSV Mayence 05;40;34;9;13;12;45;47;-2.0;88
Bundesliga;2014;12;FC Cologne;40;34;9;13;12;34;40;-6.0;88
Bundesliga;2014;13;Hanovre 96;37;34;9;10;15;40;56;-16.0;88
Bundesliga;2014;14;VfB Stuttgart;36;34;9;9;16;42;60;-18.0;88
Bundesliga;2014;15;Hertha Berlin;35;34;9;8;17;36;52;-16.0;88
Bundesliga;2014;16;Hambourg SV;35;34;9;8;17;25;50;-25.0;88
Bundesliga;2014;17;SC Fribourg;34;34;7;13;14;36;47;-11.0;88
Bundesliga;2014;18;SC Paderborn 07;31;34;7;10;17;31;65;-34.0;88
Bundesliga;2015;1;Bayern Munich;88;34;28;4;2;80;17;63.0;88
Bundesliga;2015;2;Borussia Dortmund;78;34;24;6;4;82;34;48.0;88
Bundesliga;2015;3;Bayer Leverkusen;60;34;18;6;10;56;40;16.0;88
Bundesliga;2015;4;Borussia Mönchengladbach;55;34;17;4;13;67;50;17.0;88
Bundesliga;2015;5;Schalke 04;52;34;15;7;12;51;49;2.0;88
Bundesliga;2015;6;FSV Mayence;50;34;14;8;12;46;42;4.0;88
Bundesliga;2015;7;Hertha Berlin;50;34;14;8;12;42;42;0.0;88
Bundesliga;2015;8;VfL Wolfsbourg;45;34;12;9;13;47;49;-2.0;88
Bundesliga;2015;9;FC Cologne;43;34;10;13;11;38;42;-4.0;88
Bundesliga;2015;10;Hambourg SV;41;34;11;8;15;40;46;-6.0;88
Bundesliga;2015;11;FC Ingolstadt;40;34;10;10;14;33;42;-9.0;88
Bundesliga;2015;12;FC Augsbourg;38;34;9;11;14;42;52;-10.0;88
Bundesliga;2015;13;Werder Brême;38;34;10;8;16;50;65;-15.0;88
Bundesliga;2015;14;SV Darmstadt;38;34;9;11;14;38;53;-15.0;88
Bundesliga;2015;15;TSG Hoffenheim;37;34;9;10;15;39;54;-15.0;88
Bundesliga;2015;16;Eintracht Francfort;36;34;9;9;16;34;52;-18.0;88
Bundesliga;2015;17;VfB Stuttgart;33;34;9;6;19;50;75;-25.0;88
Bundesliga;2015;18;Hanovre 96;25;34;7;4;23;31;62;-31.0;88
Bundesliga;2016;1;Bayern Munich;82;34;25;7;2;89;22;67.0;88
Bundesliga;2016;2;RB Leipzig;67;34;20;7;7;66;39;27.0;88
Bundesliga;2016;3;Borussia Dortmund;64;34;18;10;6;72;40;32.0;88
Bundesliga;2016;4;TSG Hoffenheim;62;34;16;14;4;64;37;27.0;88
Bundesliga;2016;5;FC Cologne;49;34;12;13;9;51;42;9.0;88
Bundesliga;2016;6;Hertha Berlin;49;34;15;4;15;43;47;-4.0;88
Bundesliga;2016;7;SC Fribourg;48;34;14;6;14;42;60;-18.0;88
Bundesliga;2016;8;Werder Brême;45;34;13;6;15;61;64;-3.0;88
Bundesliga;2016;9;Borussia Mönchengladbach;45;34;12;9;13;45;49;-4.0;88
Bundesliga;2016;10;Schalke 04;43;34;11;10;13;45;40;5.0;88
Bundesliga;2016;11;Eintracht Francfort;42;34;11;9;14;36;43;-7.0;88
Bundesliga;2016;12;Bayer Leverkusen;41;34;11;8;15;53;55;-2.0;88
Bundesliga;2016;13;FC Augsbourg;38;34;9;11;14;35;51;-16.0;88
